Date,Express,Guardian,Independent,Mail,Telegraph,Times
00:00:11-29/09/2015,-2.65,-0.55,-2.9,-2.55,-0.4,-3.1
01:00:08-29/09/2015,-1.7,-2.9,-2.9,-1.85,-0.9,-3.1
11:00:31-29/09/2015,-4.2,-1.55,-2.9,-1.2,0.25,-0.6
13:00:13-29/09/2015,-2.75,-2.9,-2.9,-2.8,1.05,-1.2
14:00:10-29/09/2015,-2.05,-2.5,-2.9,-1.25,0.7,-1.35
15:00:15-29/09/2015,-6.05,-4.25,-2.9,-0.75,-0.6,-1.55
17:22:13-29/09/2015,-2.25,-4.15,-2.9,-0.95,-3.4,-1.9
18:00:11-29/09/2015,-0.2,-3.75,-2.9,-2.15,-4.85,-3.15
19:00:07-29/09/2015,-0.6,-4.1,-2.9,-1.25,-4.0,-5.0
20:00:36-29/09/2015,-0.2,-3.7,-2.9,-1.45,-3.0,-3.4
07:01:40-30/09/2015,-4.9,-3.0,-2.9,-0.05,-0.55,-1.45
08:00:08-30/09/2015,-3.3,-4.05,-2.9,-0.05,-2.25,-1.45
09:00:08-30/09/2015,-2.9,-3.85,-2.9,-1.0,-2.25,-1.45
11:00:36-30/09/2015,-4.65,-3.05,-2.9,-0.7,-2.45,-1.65
12:00:08-30/09/2015,-5.75,-2.5,-2.9,0.5,-1.9,-0.7
16:00:21-30/09/2015,-2.5,-3.7,-2.9,-2.65,-0.2,1.15
17:00:07-30/09/2015,-2.2,-3.65,-2.9,-2.45,-0.2,-0.9
18:00:09-30/09/2015,-0.25,-3.65,-2.9,-2.05,-2.3,-1.85
19:00:10-30/09/2015,-0.05,-4.6,-2.9,-3.3,-4.3,-0.5
21:00:24-30/09/2015,0.25,-3.65,-2.9,-3.65,-0.7,-1.35
22:00:08-30/09/2015,1.65,-2.65,-2.9,-2.65,-1.6,-0.6
23:00:09-30/09/2015,-1.7,-5.0,-2.9,-4.4,-2.65,-0.6
00:00:11-01/10/2015,-2.25,-3.15,-2.9,-4.05,-2.2,-2.3
01:00:13-01/10/2015,0.1,-2.45,-2.9,-3.85,-1.05,-1.65
09:01:41-01/10/2015,-6.05,-3.7,-2.9,0.55,-2.6,0.9
11:00:24-01/10/2015,-7.25,-2.7,-2.9,-1.9,-0.45,-0.3
15:00:26-01/10/2015,0.15,-0.5,-2.9,-4.3,0.85,-2.4
16:00:12-01/10/2015,0.1,-1.55,-2.9,-1.25,-1.1,-4.05
17:00:14-01/10/2015,0.65,-1.95,-2.9,-1.7,-2.1,-2.9
05:04:28-02/10/2015,-1.4,-1.9,-2.9,-1.0,-2.15,-0.25
06:00:08-02/10/2015,-2.05,-2.5,-2.9,-1.1,-2.45,-0.25
07:00:48-02/10/2015,-2.25,-4.1,-2.9,-2.4,-2.85,-0.25
08:00:30-02/10/2015,-3.2,-4.5,-2.9,-5.25,-2.5,-0.25
09:00:36-02/10/2015,-4.55,-4.1,-2.9,-5.0,-3.5,-3.05
11:00:39-02/10/2015,-4.95,-3.95,-2.9,-5.15,-2.25,-3.15
12:00:37-02/10/2015,-4.95,-3.95,-2.9,-5.15,-2.25,-3.35
13:00:38-02/10/2015,-5.8,-4.35,-2.9,-5.15,-1.35,-4.05
17:00:29-02/10/2015,-3.3,-7.0,-2.9,-2.3,0.25,-3.45
18:00:07-02/10/2015,-2.7,-2.5,-2.9,-2.55,-0.7,-4.1
19:01:11-02/10/2015,-5.8,-6.45,-2.9,-0.25,-1.35,-4.1
20:00:31-02/10/2015,-4.6,-3.6,-2.9,-4.1,-1.4,-4.2
21:00:27-02/10/2015,-3.6,-2.5,-2.9,-2.5,-0.45,-3.25
22:00:32-02/10/2015,-2.45,-1.2,-2.9,-4.9,1.15,-3.25
06:00:33-03/10/2015,-1.05,-4.8,-2.9,-1.9,-1.55,-1.35
07:00:41-03/10/2015,-1.65,-3.35,-2.9,-1.1,-2.6,1.15
08:07:04-03/10/2015,-1.9,-3.35,-2.9,-0.65,-2.6,-1.35
11:00:37-03/10/2015,-2.65,-4.3,-2.9,-0.65,-3.45,-1.35
12:00:12-03/10/2015,-4.2,-2.65,-2.9,-0.65,-5.65,-1.2
13:00:30-03/10/2015,-4.2,-2.4,-2.9,-1.25,-5.65,-1.2
14:00:34-03/10/2015,-2.65,-1.7,-2.9,-1.3,-4.7,-1.05
18:00:33-03/10/2015,-5.75,-5.2,-2.9,-0.2,-5.9,-2.25
21:00:10-03/10/2015,-4.55,-5.45,-2.9,0.6,-3.7,-1.1
12:00:39-04/10/2015,-4.85,-4.45,-2.9,-3.55,-3.6,1.15
13:02:17-04/10/2015,-4.45,-4.45,-2.9,-3.55,-3.6,-2.8
14:01:15-04/10/2015,-4.45,-4.9,-2.9,-1.3,-4.35,-4.65
15:00:24-04/10/2015,-3.5,-4.1,-2.9,-1.85,-4.35,-4.65
16:00:06-04/10/2015,-3.7,-3.3,-2.9,-3.2,-4.35,-5.0
17:00:15-04/10/2015,-3.7,-4.85,-2.9,-2.35,-4.35,1.15
06:00:32-05/10/2015,-3.7,-4.4,-2.9,-1.55,-1.2,-4.15
07:00:32-05/10/2015,-3.7,-5.55,-2.9,-1.55,-0.85,-4.15
08:00:24-05/10/2015,-3.5,-3.35,-2.9,0.9,-0.85,1.15
09:00:24-05/10/2015,-3.5,-5.6,-2.9,-2.4,-2.25,-3.25
