Date,Express,Guardian,Independent,Mail,Telegraph,Times
06:00:06-07/12/2015,-6.7,-4.2,-2.9,-5.5,-3.7,-4.65
07:00:39-07/12/2015,-9.4,-5.05,-2.9,-3.75,-3.75,-4.65
08:00:38-07/12/2015,-9.8,-4.9,-2.9,-3.2,-4.1,-3.4
09:00:07-07/12/2015,-8.5,-3.6,-2.9,-0.8,-3.55,-3.4
10:00:06-07/12/2015,-8.05,-2.0,-2.9,-3.05,-2.0,-3.4
11:00:10-07/12/2015,-5.2,-2.05,-2.9,-3.05,-1.25,-3.4
12:00:20-07/12/2015,-2.75,-0.5,-2.9,-3.05,-1.55,-1.05
13:00:09-07/12/2015,-1.3,-1.6,-2.9,-3.05,-1.55,-0.95
14:00:07-07/12/2015,-5.3,-1.0,-2.9,-3.05,-1.5,-1.7
15:00:06-07/12/2015,-1.65,-2.5,-2.9,-2.65,-2.0,-1.7
16:00:07-07/12/2015,-3.45,-6.0,-2.9,-2.0,-1.6,-1.7
17:00:06-07/12/2015,-5.1,-3.35,-2.9,-3.0,-2.65,-1.8
18:00:07-07/12/2015,-3.7,-2.45,-2.9,-3.75,-4.1,-0.85
19:00:06-07/12/2015,-0.45,-4.05,-2.9,-1.6,-5.8,-0.85
20:00:06-07/12/2015,-0.65,-2.85,-2.9,-4.65,-1.25,-0.85
21:00:06-07/12/2015,-2.4,-1.25,-2.9,-0.9,-0.65,-0.05
22:00:06-07/12/2015,-7.7,-0.35,-2.9,-2.25,-2.75,0.35
23:00:06-07/12/2015,-2.65,-2.55,-2.9,-3.05,-3.15,0.35
00:00:06-08/12/2015,-3.85,-2.55,-2.9,-4.15,-2.1,0.35
01:00:08-08/12/2015,-3.55,-1.4,-2.9,-0.9,-4.2,-0.25
02:00:08-08/12/2015,-3.55,-1.4,-2.9,-0.9,-4.2,-0.9
03:00:07-08/12/2015,-2.9,-2.2,-2.9,-2.6,-4.2,-0.9
04:00:07-08/12/2015,-5.0,-2.2,-2.9,-3.3,-4.5,-0.9
05:00:08-08/12/2015,-5.0,-1.65,-2.9,0.1,-4.5,-0.9
06:00:06-08/12/2015,-6.15,-1.65,-2.9,-0.35,-5.3,-0.9
07:00:06-08/12/2015,-9.5,-0.45,-2.9,-0.35,-2.35,-0.9
08:00:10-08/12/2015,-9.5,-2.2,-2.9,-1.35,-2.05,-0.9
09:00:07-08/12/2015,-9.05,-3.2,-2.9,-3.2,-1.3,-0.9
17:00:17-09/12/2015,-2.85,-3.15,-2.9,-0.55,-0.1,-4.45
22:00:37-10/12/2015,-2.95,-2.4,-2.9,-2.05,0.1,-3.6
19:00:41-11/12/2015,-0.1,-2.5,-2.9,-2.1,-0.2,-6.3
23:00:08-11/12/2015,-3.85,-3.45,-2.9,-1.8,-5.95,-4.1
00:00:08-12/12/2015,-3.8,-4.15,-2.9,-3.25,-8.15,-4.1
01:00:08-12/12/2015,-5.9,-5.15,-2.9,-1.7,-8.15,-3.35
09:00:06-12/12/2015,-3.6,-3.95,-2.9,-0.1,1.8,4.7
16:01:22-14/12/2015,-2.7,-2.25,-2.9,-2.1,-1.15,-5.25
19:02:03-14/12/2015,-3.55,-1.45,-2.9,-1.05,-2.95,-5.9
09:02:02-15/12/2015,-5.45,-5.7,-2.9,-1.7,-4.3,-1.95
10:00:46-15/12/2015,-5.4,-6.3,-2.9,-1.25,-4.05,-1.95
11:00:42-15/12/2015,-5.4,-6.5,-2.9,-1.25,-4.05,-1.95
12:00:25-15/12/2015,-5.4,-3.9,-2.9,0.5,-4.05,-0.65
13:00:24-15/12/2015,-6.45,-4.35,-2.9,-2.4,-3.95,1.15
14:00:31-15/12/2015,-4.75,-4.0,-2.9,-2.1,-4.5,-0.15
15:00:30-15/12/2015,-3.3,-1.25,-2.9,-4.1,-3.1,-0.15
17:00:37-15/12/2015,-2.4,1.85,-2.9,-1.4,-3.95,-1.35
23:00:57-15/12/2015,-6.25,-4.4,-2.9,0.35,-3.6,-2.95
16:00:35-16/12/2015,-6.4,-2.85,-2.9,-1.9,0.1,0.45
17:00:30-16/12/2015,-3.85,-3.6,-2.9,-2.2,-0.05,0.45
19:00:32-16/12/2015,-4.7,-0.5,-2.9,-2.55,-1.5,1.15
20:00:23-16/12/2015,1.45,-2.75,-2.9,-1.5,-0.35,-3.55
21:00:28-16/12/2015,-1.1,-4.3,-2.9,-1.5,-0.2,-3.55
22:00:26-16/12/2015,-3.25,-2.9,-2.9,-1.75,-0.15,-2.55
23:00:24-16/12/2015,-5.3,-2.45,-2.9,-1.75,-2.0,-1.85
00:00:28-17/12/2015,-0.75,-3.95,-2.9,-1.75,-2.0,1.25
01:00:29-17/12/2015,-3.45,-3.95,-2.9,-2.7,-4.0,1.45
02:00:34-17/12/2015,0.3,-3.95,-2.9,-2.7,-4.55,0.8
03:00:07-17/12/2015,0.8,-2.85,-2.9,-2.7,-2.3,-1.0
04:00:07-17/12/2015,-2.75,-2.6,-2.9,-2.7,-0.55,2.9
05:00:07-17/12/2015,-2.85,-1.75,-2.9,-2.7,-0.6,3.2
06:00:08-17/12/2015,-2.5,-1.75,-2.9,-2.7,-0.95,3.9
07:00:08-17/12/2015,-2.85,-1.75,-2.9,-2.7,-0.6,3.9
08:00:09-17/12/2015,-5.0,-0.4,-2.9,-2.7,-1.95,3.9
09:00:31-17/12/2015,-2.8,-0.5,-2.9,-2.4,-1.95,3.9
10:00:27-17/12/2015,-4.0,-1.25,-2.9,-2.0,-2.15,3.9
11:00:48-17/12/2015,-4.2,-0.2,-2.9,0.0,-1.65,0.9
12:00:41-17/12/2015,-5.35,-0.15,-2.9,0.25,-1.65,0.75
13:00:33-17/12/2015,-6.3,1.45,-2.9,-0.05,-1.4,1.3
14:02:22-17/12/2015,-3.4,3.0,-2.9,0.5,-1.85,1.3
23:00:34-17/12/2015,-2.45,-3.6,-2.9,-0.7,-3.3,-2.35
12:00:55-18/12/2015,-6.95,-3.85,-2.9,-1.0,-2.95,2.75
14:00:36-18/12/2015,-2.05,-2.5,-3.1,-2.75,-2.55,1.8
17:00:35-18/12/2015,-1.45,-3.0,-2.9,0.25,0.3,-3.15
22:00:38-18/12/2015,-0.8,-3.8,-2.9,2.65,-1.35,-0.75
23:00:29-18/12/2015,0.6,-2.85,-2.9,-0.7,-0.35,-0.75
00:00:30-19/12/2015,-2.4,-6.0,-2.9,-0.5,-0.65,-0.75
01:00:28-19/12/2015,-8.75,-4.95,-2.9,-1.55,2.3,-0.75
02:00:29-19/12/2015,-6.25,-1.85,-2.9,-1.75,3.2,-0.75
03:00:28-19/12/2015,-4.45,-3.9,-2.9,-1.7,5.35,1.2
04:00:29-19/12/2015,-2.5,-4.35,-2.9,-1.7,5.35,2.5
05:00:28-19/12/2015,-2.5,-3.6,-2.9,0.2,4.05,2.5
06:00:29-19/12/2015,-0.15,-4.6,-2.9,0.25,4.8,2.4
07:00:30-19/12/2015,-0.15,-4.6,-2.9,-0.2,4.55,2.4
08:00:33-19/12/2015,-5.9,-2.5,-2.9,-0.2,4.55,2.4
11:00:38-19/12/2015,-6.85,-2.05,-2.9,1.9,4.25,2.4
12:00:15-19/12/2015,-7.7,-1.05,-2.9,0.8,4.25,2.4
13:00:12-19/12/2015,-7.7,-1.05,-2.9,-0.1,4.25,2.4
14:00:07-19/12/2015,-7.7,-2.0,-2.9,-1.0,2.75,2.4
15:00:06-19/12/2015,-5.15,-2.4,-2.9,0.5,-1.95,2.4
16:00:25-19/12/2015,-6.9,-1.45,-2.9,-0.75,-1.25,1.55
17:00:09-19/12/2015,-6.9,-1.6,-2.9,-0.85,1.55,-0.6
18:00:07-19/12/2015,-7.4,0.9,-2.9,-0.9,1.05,-0.15
19:00:21-19/12/2015,-7.4,0.9,-2.9,-1.75,0.15,-0.15
21:00:06-19/12/2015,-6.15,-1.85,-2.9,-0.9,-4.05,0.45
08:00:23-20/12/2015,-4.3,-2.5,-2.9,-4.7,-2.9,0.6
09:00:07-20/12/2015,-1.9,-0.3,-2.9,-1.3,-3.05,0.6
10:00:06-20/12/2015,-1.9,-1.85,-2.9,-2.95,-3.5,0.6
16:00:56-20/12/2015,-3.4,-1.5,-2.9,-4.0,-3.3,0.4
17:00:21-20/12/2015,-3.85,-0.85,-2.9,-2.5,-1.75,-0.3
18:00:17-20/12/2015,-2.75,-1.1,-2.9,0.0,-1.75,-0.55
20:00:08-20/12/2015,-2.2,-2.5,-2.9,-3.1,-2.65,0.6
21:00:09-20/12/2015,-2.1,-4.15,-2.9,-2.55,-2.85,0.6
08:01:16-21/12/2015,-7.25,-2.1,-2.9,-1.05,-3.4,2.7
17:00:29-21/12/2015,-0.6,-4.85,-2.9,-4.8,-2.55,0.05
18:03:44-21/12/2015,-5.85,-4.45,-2.9,-1.8,-1.15,-2.95
19:02:15-21/12/2015,-7.7,-4.85,-2.9,0.55,-3.25,-5.55
22:00:27-21/12/2015,-3.55,-5.35,-2.9,-3.1,-5.05,-8.15
23:00:07-21/12/2015,-7.2,-5.75,-2.9,-3.15,-6.9,-5.3
09:00:06-22/12/2015,-1.5,-7.05,-2.9,-1.7,-2.45,-5.9
10:00:06-22/12/2015,-1.7,-5.4,-2.9,-3.4,-2.45,-5.9
18:00:09-22/12/2015,-5.45,-3.15,-2.9,-2.7,-0.5,-5.75
09:00:38-23/12/2015,-5.6,-5.3,-2.9,-1.9,-1.6,-1.1
10:00:09-23/12/2015,-7.0,-5.3,-2.9,-2.4,-1.6,-1.4
11:00:10-23/12/2015,-6.5,-1.9,-2.9,-1.4,-3.25,-1.1
12:00:10-23/12/2015,-6.2,-2.0,-2.9,-1.4,-3.75,-1.1
16:00:10-23/12/2015,-4.6,-1.45,-2.9,-4.6,-6.05,0.35
17:00:17-23/12/2015,-8.05,-1.95,-2.9,-4.65,-6.05,-0.35
22:00:10-23/12/2015,-5.8,-5.5,-2.9,-2.3,-0.45,-0.25
23:00:41-23/12/2015,-3.55,-4.25,-2.9,-2.8,-1.7,-1.1
00:00:23-24/12/2015,-3.1,-4.5,-2.9,-3.55,-4.6,-1.3
01:00:16-24/12/2015,-1.65,-6.1,-2.9,-4.15,-2.5,-1.3
02:00:42-24/12/2015,-3.3,-5.0,-2.9,-2.65,-3.3,-0.65
09:00:09-24/12/2015,-0.1,-4.55,-2.9,1.65,-2.05,-3.05
10:00:12-24/12/2015,-0.1,-3.1,-2.9,0.7,-2.05,-3.05
11:00:07-24/12/2015,-1.1,-3.1,-2.9,0.7,-2.25,-3.55
12:00:11-24/12/2015,-1.1,-1.75,-2.9,0.7,-1.3,-3.55
13:00:10-24/12/2015,-1.1,-1.15,-2.9,0.7,-1.4,-4.5
14:00:10-24/12/2015,-2.5,-1.15,-2.9,-0.6,-1.75,-4.5
15:00:09-24/12/2015,-4.35,-2.7,-2.9,0.25,-1.95,-4.5
16:00:12-24/12/2015,-4.5,-1.4,-2.9,-2.8,-2.45,-4.5
17:00:15-24/12/2015,-2.75,-3.05,-2.9,1.1,-3.65,-4.5
18:00:09-24/12/2015,-3.6,-1.2,-2.9,-0.85,-4.3,-4.5
19:00:08-24/12/2015,-2.2,-5.5,-2.9,0.7,-4.45,-5.4
09:00:32-25/12/2015,-5.9,-3.85,-2.9,-0.65,-1.45,-5.3
20:01:03-26/12/2015,-1.75,-3.9,-2.9,-4.15,-0.25,-2.95
21:00:21-26/12/2015,-3.05,-5.75,-2.9,-3.7,-0.25,-1.6
08:00:26-27/12/2015,0.75,-4.8,-2.9,-2.75,-4.35,2.65
09:00:42-27/12/2015,0.75,-2.45,-2.9,-1.1,-4.15,2.65
16:00:33-27/12/2015,-5.65,-2.25,-2.9,-1.95,-4.2,0.9
17:00:11-27/12/2015,-5.65,-3.4,-2.9,-1.2,-4.55,0.9
18:00:28-27/12/2015,-4.55,-3.15,-2.9,-0.4,-4.6,0.25
22:00:38-27/12/2015,-5.15,-3.35,-2.9,-2.85,2.75,-2.0
23:00:56-27/12/2015,-5.55,-4.65,-2.9,-2.45,2.45,-0.35
00:00:36-28/12/2015,-5.0,-5.6,-2.9,-3.5,1.4,-0.35
12:00:36-28/12/2015,-4.65,-2.4,-2.9,-2.6,-3.3,0.15
13:00:32-28/12/2015,-4.65,-1.75,-2.9,-3.5,-3.7,0.15
14:00:41-28/12/2015,-8.5,-2.4,-2.9,-1.85,-3.4,0.15
15:02:54-28/12/2015,-7.85,-1.8,-2.9,-1.95,-1.55,0.15
17:03:00-28/12/2015,-8.25,-0.95,-2.9,-2.95,-1.0,0.7
18:00:30-28/12/2015,-8.05,-0.7,-2.9,-0.95,-0.8,-0.05
19:00:41-28/12/2015,-7.4,-0.75,-2.9,-0.35,0.55,-1.3
22:00:50-28/12/2015,-6.85,0.75,-2.9,-4.5,-3.85,-3.35
23:00:39-28/12/2015,-9.0,0.6,-2.9,-3.0,-5.15,-3.35
09:00:37-29/12/2015,-2.4,-0.8,-2.9,-5.1,-1.15,-0.55
10:00:34-29/12/2015,-2.4,-0.8,-2.9,-3.3,1.1,-0.55
11:00:34-29/12/2015,-0.8,-1.85,-2.9,-3.3,-0.5,-0.55
12:00:51-29/12/2015,0.15,-2.0,-2.9,-3.3,-0.5,-0.55
13:01:56-29/12/2015,0.15,-2.05,-2.9,-4.35,-0.8,-0.55
14:00:51-29/12/2015,-2.1,-3.0,-2.9,-2.45,-1.95,-0.55
15:00:36-29/12/2015,-4.2,-3.35,-2.9,-2.9,-2.15,-0.55
16:00:31-29/12/2015,-7.0,-4.25,-2.9,-3.4,-2.0,-0.55
17:00:35-29/12/2015,-3.15,-3.3,-2.9,-4.9,-0.2,-0.9
19:00:34-29/12/2015,-1.35,-2.8,-2.9,-4.75,-0.85,-1.25
20:00:33-29/12/2015,-2.7,-4.05,-2.9,-2.65,-1.1,-1.0
12:00:31-30/12/2015,-8.8,-4.65,-2.9,-3.65,-1.75,-0.25
13:04:02-30/12/2015,-9.4,-4.2,-2.9,-3.35,-1.75,-0.25
14:03:22-30/12/2015,-6.9,-1.9,-2.9,-0.85,-0.1,-0.25
15:00:39-30/12/2015,-5.2,-0.25,-2.9,0.0,-0.1,-0.25
17:02:11-30/12/2015,-2.3,-1.4,-2.9,-1.0,1.25,-2.55
18:00:25-30/12/2015,-2.2,-0.95,-2.9,-2.25,1.3,-2.3
19:00:15-30/12/2015,-9.1,-4.2,-2.9,0.2,-2.7,-2.05
00:00:22-31/12/2015,-1.5,-4.25,-2.9,-2.4,-6.8,-5.55
11:00:10-31/12/2015,-0.65,-0.15,-2.9,-2.4,-2.95,-1.35
12:00:08-31/12/2015,-0.65,-3.55,-2.9,-2.4,-2.95,-1.35
23:00:34-01/01/2016,-2.75,-7.25,-2.9,-3.35,-5.9,-3.8
00:00:10-02/01/2016,-3.8,-5.4,-2.9,-2.8,-5.9,-3.2
11:00:31-02/01/2016,-0.85,-5.3,-2.9,-2.55,-2.95,-8.45
12:00:09-02/01/2016,-0.85,-4.5,-2.9,-2.55,-2.95,-8.45
13:00:10-02/01/2016,-2.8,-3.85,-2.9,-4.1,-2.95,-8.45
14:00:25-02/01/2016,-3.8,-2.85,-2.9,-4.05,-2.95,-8.45
15:01:00-02/01/2016,-3.1,-2.8,-2.9,-1.0,-3.95,-8.45
16:00:17-02/01/2016,-3.7,-2.45,-2.9,-1.65,-2.2,-9.25
17:00:16-02/01/2016,-3.7,-3.05,-2.9,-1.65,-1.8,-9.25
19:20:40-02/01/2016,-2.05,-2.5,-3.1,-2.4,-1.45,-9.25
20:00:06-02/01/2016,-2.4,-4.05,-2.9,-4.05,-1.45,-9.25
21:00:25-02/01/2016,-2.4,-4.65,-2.9,-4.05,-1.45,-9.4
22:00:08-02/01/2016,-3.15,-4.65,-2.9,-4.05,-0.9,-9.4
00:00:32-03/01/2016,-3.9,-4.7,-2.9,-4.15,0.0,-6.75
01:00:35-03/01/2016,-4.5,-5.35,-2.9,-4.55,-0.6,-5.9
07:00:21-03/01/2016,-4.05,-5.1,-2.9,-2.75,-2.9,-2.4
08:00:28-03/01/2016,-5.05,-5.1,-2.9,-2.05,-2.9,-2.4
09:00:06-03/01/2016,-1.5,-5.1,-2.9,-5.25,-2.1,-2.4
16:00:18-03/01/2016,-3.25,-1.05,-2.9,-3.0,-0.35,0.15
17:00:28-03/01/2016,-3.6,-1.8,-2.9,-0.25,-0.35,0.7
18:00:07-03/01/2016,-5.6,-1.3,-2.9,-1.9,-1.75,2.7
19:00:44-03/01/2016,-5.6,-0.1,-2.9,-4.2,-1.9,-1.45
23:53:48-03/01/2016,-7.5,-0.9,-2.9,-4.35,-3.45,-2.95
00:01:55-04/01/2016,-7.5,-2.0,-2.9,-4.35,-3.45,-2.95
01:00:45-04/01/2016,-7.95,-2.45,-2.9,-4.35,-3.45,-3.3
02:00:11-04/01/2016,-4.35,-2.4,-2.9,-4.35,-3.45,-3.3
10:00:28-04/01/2016,-8.65,-2.9,-2.9,2.3,-2.3,-3.2
11:00:28-04/01/2016,-7.3,-2.4,-2.9,-1.0,-2.9,-3.2
12:00:08-04/01/2016,-6.05,-1.55,-2.9,0.7,-4.05,-3.05
13:00:12-04/01/2016,-5.6,-1.75,-2.9,1.95,-2.25,-3.05
14:00:10-04/01/2016,-3.5,-1.75,-2.9,0.75,-0.9,-3.05
15:00:09-04/01/2016,-2.2,-2.45,-2.9,-1.25,-0.4,-3.05
18:00:09-04/01/2016,-3.8,0.8,-2.9,-1.05,-1.8,-3.4
19:00:09-04/01/2016,-3.95,-0.25,-2.9,-0.2,-2.0,-4.2
20:00:20-04/01/2016,-4.95,-1.75,-2.9,-0.15,-2.3,-4.2
23:00:09-04/01/2016,-7.0,-3.25,-2.9,-3.05,-2.2,-1.75
01:00:26-05/01/2016,-3.55,-2.35,-2.9,0.05,-4.05,-1.85
02:00:16-05/01/2016,-0.7,-0.15,-2.9,-0.85,-1.4,-2.0
09:00:37-05/01/2016,-6.55,-1.0,-2.9,-0.65,-0.4,-4.65
11:00:13-05/01/2016,-5.3,-1.4,-2.9,-1.2,-0.15,-5.8
16:00:30-05/01/2016,-3.3,-4.1,-2.9,-1.5,-2.45,-5.85
17:00:10-05/01/2016,-0.65,-3.7,-2.9,-1.3,-1.35,-5.85
18:00:08-05/01/2016,-0.75,-4.1,-2.9,-1.0,0.8,-0.8
19:00:12-05/01/2016,-0.05,-3.85,-2.9,-1.45,1.05,-0.35
20:00:14-05/01/2016,-1.8,-2.6,-2.9,-3.95,0.0,-0.75
21:00:12-05/01/2016,-7.8,-2.3,-2.9,-2.7,-1.05,-1.4
22:00:43-05/01/2016,-4.95,-3.4,-2.9,-1.45,-1.55,-2.0
23:00:41-05/01/2016,-4.75,-2.55,-2.9,-3.15,-0.5,-2.0
00:00:19-06/01/2016,-4.95,-2.65,-2.9,-6.85,-1.35,-3.65
01:00:53-06/01/2016,-4.7,-3.0,-2.9,-5.2,-1.35,-3.65
02:00:30-06/01/2016,-6.0,-2.0,-2.9,-3.8,-1.55,-3.65
03:00:30-06/01/2016,-4.2,-1.85,-2.9,-4.25,-0.55,-6.85
10:00:28-06/01/2016,-2.1,-1.8,-2.9,-2.3,-3.7,-1.4
15:00:26-06/01/2016,-5.45,-0.25,-2.9,0.35,-2.85,-2.3
17:00:41-06/01/2016,-2.9,-1.55,-2.9,-2.7,2.2,-1.8
21:00:41-06/01/2016,-4.0,-5.35,-2.9,-2.8,-3.5,-3.0
22:00:41-06/01/2016,-4.6,-5.35,-2.9,-3.3,-5.25,-3.45
23:00:34-06/01/2016,-4.9,-6.3,-2.9,-1.75,-3.25,-2.7
00:00:43-07/01/2016,-2.6,-4.3,-2.9,0.25,-2.95,-1.8
01:00:42-07/01/2016,-7.1,-1.55,-2.9,-4.4,-2.5,-1.8
02:00:28-07/01/2016,-5.15,-1.3,-2.9,-3.2,-3.05,0.5
03:00:30-07/01/2016,-1.8,-1.85,-2.9,-2.3,-5.05,1.0
09:00:41-07/01/2016,-1.6,-3.6,-2.9,-1.7,-5.35,3.35
10:00:10-07/01/2016,0.75,-3.6,-2.9,-2.15,-5.7,3.35
11:00:10-07/01/2016,-1.75,-4.2,-2.9,-2.15,-5.1,2.05
12:00:37-07/01/2016,-2.25,-2.45,-2.9,-2.15,-2.45,2.05
13:00:31-07/01/2016,-2.25,-2.75,-2.9,-4.6,-0.3,-0.4
14:00:19-07/01/2016,-2.4,-5.2,-2.9,-4.6,-0.4,-0.4
15:00:07-07/01/2016,-4.6,-5.45,-2.9,-2.6,-0.4,0.5
17:00:33-07/01/2016,-2.6,-5.65,-2.9,1.4,0.1,-2.25
23:00:10-07/01/2016,-1.05,-2.9,-2.9,-1.65,-3.9,-7.0
00:01:03-08/01/2016,0.05,-3.05,-2.9,-3.15,-3.85,-4.35
01:00:43-08/01/2016,-0.45,-3.2,-2.9,-3.65,-5.65,-2.25
03:00:31-08/01/2016,-1.15,0.1,-2.9,-0.2,-4.7,-4.35
04:00:31-08/01/2016,-3.3,0.25,-2.9,-0.8,-5.8,0.3
14:00:51-08/01/2016,-3.1,-4.95,-2.9,-4.25,-5.8,-2.05
15:01:18-08/01/2016,-4.1,-5.45,-2.9,-1.95,-4.05,-2.05
23:00:48-08/01/2016,-1.9,-6.95,-2.9,-4.35,-1.15,-3.9
00:01:16-09/01/2016,-2.6,-7.65,-2.9,-2.1,-1.45,-2.55
01:01:29-09/01/2016,-4.75,-4.5,-2.9,-3.0,-2.55,-2.55
08:00:35-09/01/2016,-3.75,-5.0,-2.9,-1.3,-2.9,2.1
15:52:16-09/01/2016,-1.5,-3.4,-2.9,-1.3,1.8,2.65
16:01:16-09/01/2016,-3.25,-3.4,-2.9,-1.3,1.8,2.65
17:00:34-09/01/2016,-4.05,-2.75,-2.9,-1.3,2.65,2.65
00:00:07-10/01/2016,-6.35,-4.15,-2.9,-1.75,-2.95,-5.35
01:00:27-10/01/2016,-6.35,-4.7,-2.9,-1.75,-2.6,-5.35
02:00:28-10/01/2016,-5.95,-3.5,-2.9,-1.75,-2.5,-5.35
15:00:11-10/01/2016,-2.05,-1.1,-2.9,-2.05,1.35,-3.85
18:00:18-10/01/2016,0.6,-1.25,-2.9,-2.05,-0.05,-3.65
19:00:08-10/01/2016,-2.5,-2.6,-2.9,-2.05,-1.4,-5.4
16:00:07-12/01/2016,-6.95,-1.95,-2.9,-3.05,-5.85,0.15
17:00:09-12/01/2016,-4.6,-1.9,-2.9,-0.9,-2.35,-2.4
09:00:27-13/01/2016,-5.5,-2.3,-2.9,-3.6,-0.35,-1.2
12:00:07-13/01/2016,-2.05,-2.5,-3.1,-2.4,-3.95,1.15
13:00:27-13/01/2016,-4.05,-3.85,-2.9,-4.1,-0.3,-3.45
16:00:10-14/01/2016,-8.95,-3.6,-2.9,-1.85,-3.3,-5.5
23:00:08-14/01/2016,-6.35,-4.35,-2.9,-2.45,-1.3,-1.95
14:01:11-15/01/2016,-4.7,-2.25,-2.9,0.45,-1.4,-4.15
12:00:09-16/01/2016,-7.5,-4.55,-2.9,-2.6,-2.5,-1.95
20:00:12-16/01/2016,-5.5,-2.7,-2.9,-4.2,-4.8,-2.7
18:00:07-17/01/2016,-4.0,-2.2,-2.9,-0.75,-0.4,-1.1
19:00:17-19/01/2016,-3.7,-3.65,-2.9,-3.0,-0.15,-1.7
20:00:16-19/01/2016,-4.3,-3.2,-2.9,-3.6,-0.45,-1.1
22:00:13-19/01/2016,-3.45,-2.65,-2.9,-3.4,-1.95,-1.95
23:00:08-19/01/2016,-1.1,0.7,-2.9,-3.4,-2.3,-2.45
11:00:26-20/01/2016,0.95,-2.3,-2.9,-1.95,-1.75,-0.5
22:02:41-20/01/2016,-2.6,-5.2,-2.9,-3.8,-4.45,0.05
10:00:47-21/01/2016,-5.55,-0.1,-2.9,0.55,-2.8,-0.2
11:00:34-21/01/2016,-6.5,-0.4,-2.9,-0.15,-2.8,-0.5
12:00:34-21/01/2016,-6.5,-2.25,-2.9,-0.15,-2.8,-0.5
19:01:11-21/01/2016,-0.95,-2.05,-2.9,-0.55,0.7,-5.1
21:00:56-21/01/2016,-3.0,-4.2,-2.9,-5.75,-0.5,-4.75
22:01:44-21/01/2016,0.8,-5.85,-2.9,-1.9,-1.65,-4.75
23:01:16-21/01/2016,1.45,-3.45,-2.9,-3.4,-4.15,-2.25
00:00:21-22/01/2016,2.0,-3.8,-2.9,-5.2,-2.85,-1.8
14:00:32-22/01/2016,-7.95,-5.0,-2.9,-2.8,-4.95,-0.85
16:00:37-22/01/2016,-5.05,-4.2,-2.9,-3.85,-4.75,-2.7
17:00:31-22/01/2016,-2.05,-6.85,-2.9,-3.85,-4.1,-2.7
06:00:39-23/01/2016,-2.15,-3.3,-2.9,-1.15,-4.1,1.0
15:00:06-23/01/2016,-0.65,-2.95,-2.9,-4.45,-2.7,1.0
17:00:40-23/01/2016,-2.0,-5.35,-2.9,-4.05,-3.05,-2.65
20:00:30-23/01/2016,-1.05,-4.65,-2.9,-2.95,-2.8,-2.55
21:01:03-23/01/2016,-0.25,-3.95,-2.9,-2.45,-3.1,-2.55
00:00:43-26/01/2016,-1.6,-7.15,-2.9,-0.35,-1.25,-3.05
00:00:19-28/01/2016,-6.2,-3.2,-2.9,-2.35,-4.95,-0.4
01:00:16-28/01/2016,-5.8,-1.9,-2.9,-4.35,-6.05,-0.4
02:00:13-28/01/2016,-4.9,-1.7,-2.9,-4.55,-5.3,0.6
09:00:09-28/01/2016,-2.2,-2.35,-2.9,-1.35,-3.8,-1.55
10:07:20-28/01/2016,-6.35,-1.15,-2.9,-1.65,-0.65,-1.55
11:00:09-28/01/2016,-4.95,-0.9,-2.9,-2.0,-0.65,-0.2
12:00:31-28/01/2016,-2.7,-1.15,-2.9,-3.7,-2.0,-0.05
13:00:13-28/01/2016,-0.6,-1.65,-2.9,-3.7,-2.15,-1.25
13:00:27-31/01/2016,-1.35,-3.85,-2.9,-5.15,-0.35,-1.65
14:27:03-31/01/2016,0.5,1.2,-2.9,-1.15,-0.35,-1.65
17:00:14-31/01/2016,0.5,-1.25,-2.9,-0.2,-1.1,0.4
18:01:15-31/01/2016,0.5,0.05,-2.9,0.15,-1.2,0.4
14:00:07-01/02/2016,-3.9,0.65,-2.9,-2.05,-0.2,-8.4
16:00:32-01/02/2016,-0.2,0.65,-2.9,-1.6,-0.4,-8.25
17:00:08-01/02/2016,-4.1,0.15,-2.9,-3.5,0.65,-9.0
12:00:36-02/02/2016,-2.05,-2.5,-3.1,-2.4,-3.95,-6.45
14:00:13-02/02/2016,-0.5,-2.9,-2.9,-3.4,1.9,-6.45
11:00:50-03/02/2016,-7.2,-0.1,-2.9,-2.9,-2.2,-6.25
10:00:44-04/02/2016,-3.1,-3.85,-2.9,-4.4,-2.05,-3.45
11:00:40-04/02/2016,-1.65,-2.0,-2.9,-5.4,-3.0,-3.45
12:00:41-04/02/2016,-1.05,-3.65,-2.9,-3.5,-2.1,-3.35
13:00:26-04/02/2016,-1.1,-3.6,-2.9,-3.1,-2.1,-3.35
19:00:29-04/02/2016,-4.0,-2.75,-2.9,0.25,-1.8,-6.55
21:00:49-04/02/2016,-1.9,-3.3,-3.1,0.6,-2.95,-6.55
22:00:42-04/02/2016,-2.95,-2.2,-2.9,-0.8,-2.95,-4.6
23:00:35-04/02/2016,1.95,-0.5,-2.9,-0.8,-1.3,-5.9
17:00:36-05/02/2016,-0.7,-0.9,-2.9,-1.5,0.9,-7.95
18:00:57-05/02/2016,-1.3,-0.85,-2.9,-2.0,1.7,-7.85
00:01:16-06/02/2016,-6.05,-1.5,-2.9,-1.85,-1.85,-7.4
09:00:38-06/02/2016,-4.1,-1.95,-2.9,-2.0,-3.55,-0.55
17:00:56-06/02/2016,-1.9,-2.0,-2.9,-1.25,-0.95,-2.2
12:35:14-07/02/2016,-3.3,-2.4,-2.9,-0.85,-0.5,0.3
